Timestamp,CPU Usage %,Memory Usage %,Memory Total,Memory Available,Disk Read Bytes,Disk Write Bytes
2025-03-23 01:09:20,50.00,80.00,8345964544,1602965504,1011429,515043
2025-03-23 01:09:21,47.00,80.00,8345964544,1604980736,1039400,541953
2025-03-23 01:09:22,49.00,80.00,8345964544,1604268032,1053696,567232
2025-03-23 01:09:23,51.00,80.00,8345964544,1609564160,1065414,591913
2025-03-23 01:09:24,46.00,80.00,8345964544,1614098432,1082093,607894
2025-03-23 01:09:25,41.00,80.00,8345964544,1628024832,1112497,637316
2025-03-23 01:09:26,38.00,80.00,8345964544,1626570752,1143800,663914
2025-03-23 01:09:27,38.00,80.00,8345964544,1594908672,1163641,679613
2025-03-23 01:09:28,34.00,81.00,8345964544,1548595200,1191654,702169
2025-03-23 01:09:29,34.00,81.00,8345964544,1553186816,1200467,725289
2025-03-23 01:09:30,34.00,81.00,8345964544,1552121856,1219795,733412
2025-03-23 01:09:31,29.00,81.00,8345964544,1552642048,1240342,743340
2025-03-23 01:09:32,26.00,81.00,8345964544,1552642048,1267978,775870
2025-03-23 01:09:33,23.00,81.00,8345964544,1554448384,1274619,795736
2025-03-23 01:09:34,25.00,81.00,8345964544,1551388672,1281359,822611
2025-03-23 01:09:35,20.00,81.00,8345964544,1552400384,1302878,852482
2025-03-23 01:09:36,21.00,81.00,8345964544,1551331328,1308674,860992
2025-03-23 01:09:37,18.00,81.00,8345964544,1552605184,1320213,865586
2025-03-23 01:09:38,18.00,81.00,8345964544,1552769024,1337897,890391
2025-03-23 01:09:39,21.00,81.00,8345964544,1551912960,1342888,909381
2025-03-23 01:09:41,19.00,81.00,8345964544,1551810560,1358960,928699
2025-03-23 01:09:42,21.00,81.00,8345964544,1554255872,1366063,934079
2025-03-23 01:09:43,25.00,81.00,8345964544,1551761408,1372363,939733
2025-03-23 01:09:44,24.00,81.00,8345964544,1552863232,1376324,941907
2025-03-23 01:09:45,26.00,81.00,8345964544,1546039296,1382004,949577
2025-03-23 01:09:46,24.00,81.00,8345964544,1551765504,1385693,979248
2025-03-23 01:09:47,25.00,81.00,8345964544,1522188288,1414010,1003222
2025-03-23 01:09:48,26.00,81.00,8345964544,1545654272,1441964,1012678
2025-03-23 01:09:49,31.00,81.00,8345964544,1544630272,1447503,1031391
2025-03-23 01:09:50,36.00,81.00,8345964544,1543544832,1470196,1040426
2025-03-23 01:09:51,34.00,81.00,8345964544,1533255680,1500707,1050284
2025-03-23 01:09:52,35.00,81.00,8345964544,1530716160,1518219,1062123
2025-03-23 01:09:53,36.00,81.00,8345964544,1537966080,1521429,1065793
2025-03-23 01:09:54,39.00,81.00,8345964544,1572392960,1546525,1075240
2025-03-23 01:09:55,40.00,81.00,8345964544,1569013760,1577651,1101619
2025-03-23 01:09:56,39.00,81.00,8345964544,1504960512,1600653,1104971
2025-03-23 01:09:57,40.00,82.00,8345964544,1444089856,1618535,1105351
2025-03-23 01:09:58,42.00,82.00,8345964544,1450967040,1639332,1135593
2025-03-23 01:09:59,37.00,82.00,8345964544,1447960576,1645559,1135833
2025-03-23 01:10:00,37.00,82.00,8345964544,1454505984,1646083,1155264
2025-03-23 01:10:01,39.00,83.00,8345964544,1395478528,1674308,1156849
2025-03-23 01:10:02,36.00,84.00,8345964544,1323974656,1696174,1166064
2025-03-23 01:10:03,34.00,84.00,8345964544,1333092352,1721883,1180216
2025-03-23 01:10:04,38.00,84.00,8345964544,1310298112,1732179,1209371
2025-03-23 01:10:05,42.00,83.00,8345964544,1353859072,1742312,1227203
2025-03-23 01:10:06,42.00,83.00,8345964544,1359093760,1753004,1239569
2025-03-23 01:10:08,44.00,83.00,8345964544,1363714048,1772461,1244420
2025-03-23 01:10:09,42.00,83.00,8345964544,1365417984,1786180,1260128
2025-03-23 01:10:10,44.00,83.00,8345964544,1366601728,1816253,1266434
2025-03-23 01:10:11,41.00,83.00,8345964544,1391550464,1828398,1279762
2025-03-23 01:10:12,42.00,83.00,8345964544,1388048384,1840693,1300547
2025-03-23 01:10:13,46.00,83.00,8345964544,1385455616,1862406,1319302
2025-03-23 01:10:14,44.00,83.00,8345964544,1371459584,1890902,1327917
2025-03-23 01:10:15,41.00,83.00,8345964544,1374814208,1905651,1355351
2025-03-23 01:10:16,45.00,83.00,8345964544,1375055872,1917274,1369818
2025-03-23 01:10:17,50.00,83.00,8345964544,1402322944,1937179,1396947
2025-03-23 01:10:18,47.00,83.00,8345964544,1409548288,1962625,1401943
2025-03-23 01:10:19,45.00,83.00,8345964544,1406709760,1989216,1407396
2025-03-23 01:10:20,48.00,83.00,8345964544,1398222848,2015131,1436005
2025-03-23 01:10:21,44.00,83.00,8345964544,1401049088,2045192,1455809
2025-03-23 01:10:22,41.00,83.00,8345964544,1406746624,2067556,1480392
